Date,First-Time Downloads
1/1/23,2424.0
1/2/23,2768.0
1/3/23,2411.0
1/4/23,2220.0
1/5/23,2183.0
1/6/23,2215.0
1/7/23,2254.0
1/8/23,2936.0
1/9/23,3141.0
1/10/23,2918.0
1/11/23,2956.0
1/12/23,2984.0
1/13/23,3214.0
1/14/23,3413.0
1/15/23,2938.0
1/16/23,3080.0
1/17/23,3072.0
1/18/23,3064.0
1/19/23,2921.0
1/20/23,3416.0
1/21/23,3317.0
1/22/23,2931.0
1/23/23,3046.0
1/24/23,2947.0
1/25/23,3021.0
1/26/23,2996.0
1/27/23,3542.0
1/28/23,3497.0
1/29/23,2816.0
1/30/23,2905.0
1/31/23,2910.0
2/1/23,2693.0
2/2/23,2799.0
2/3/23,2983.0
2/4/23,3750.0
2/5/23,3082.0
2/6/23,3159.0
2/7/23,3112.0
2/8/23,3158.0
2/9/23,3244.0
2/10/23,3806.0
2/11/23,3792.0
2/12/23,3615.0
2/13/23,3878.0
2/14/23,3673.0
2/15/23,3896.0
2/16/23,3743.0
2/17/23,4050.0
2/18/23,3657.0
2/19/23,3263.0
2/20/23,3488.0
2/21/23,3466.0
2/22/23,3433.0
2/23/23,3311.0
2/24/23,3798.0
2/25/23,3592.0
2/26/23,2843.0
2/27/23,3155.0
2/28/23,3394.0
3/1/23,3362.0
3/2/23,3129.0
3/3/23,3641.0
3/4/23,3802.0
3/5/23,3049.0
3/6/23,3103.0
3/7/23,3011.0
3/8/23,2995.0
3/9/23,3058.0
3/10/23,3559.0
3/11/23,3444.0
3/12/23,2747.0
3/13/23,2966.0
3/14/23,2870.0
3/15/23,3004.0
3/16/23,2730.0
3/17/23,2976.0
3/18/23,2622.0
3/19/23,2686.0
3/20/23,3183.0
3/21/23,3019.0
3/22/23,3039.0
3/23/23,3003.0
3/24/23,3467.0
3/25/23,3480.0
3/26/23,2937.0
3/27/23,3010.0
3/28/23,3014.0
3/29/23,3011.0
3/30/23,3136.0
3/31/23,3586.0
4/1/23,3822.0
4/2/23,3646.0
4/3/23,3935.0
4/4/23,3739.0
4/5/23,3651.0
4/6/23,3992.0
4/7/23,3834.0
4/8/23,3258.0
4/9/23,2837.0
4/10/23,3613.0
4/11/23,3697.0
4/12/23,3908.0
4/13/23,3696.0
4/14/23,3728.0
4/15/23,3297.0
4/16/23,2892.0
4/17/23,3219.0
4/18/23,2900.0
4/19/23,2979.0
4/20/23,3193.0
4/21/23,3372.0
4/22/23,3632.0
4/23/23,3038.0
4/24/23,3116.0
4/25/23,3030.0
4/26/23,3076.0
4/27/23,3346.0
4/28/23,3694.0
4/29/23,3835.0
4/30/23,3245.0
5/1/23,3235.0
5/2/23,3131.0
5/3/23,2831.0
5/4/23,2928.0
5/5/23,3130.0
5/6/23,3202.0
5/7/23,2812.0
5/8/23,3077.0
5/9/23,2877.0
5/10/23,2993.0
5/11/23,2883.0
5/12/23,2739.0
5/13/23,2650.0
5/14/23,2826.0
5/15/23,3036.0
5/16/23,3177.0
5/17/23,2993.0
5/18/23,3034.0
5/19/23,3452.0
5/20/23,3347.0
5/21/23,3077.0
5/22/23,3411.0
5/23/23,3215.0
5/24/23,3352.0
5/25/23,3381.0
5/26/23,4156.0
5/27/23,4256.0
5/28/23,3626.0
5/29/23,3813.0
5/30/23,3715.0
5/31/23,3716.0
6/1/23,3921.0
6/2/23,3020.0
6/3/23,2470.0
6/4/23,3165.0
6/5/23,3431.0
6/6/23,3252.0
6/7/23,3390.0
6/8/23,3270.0
6/9/23,3884.0
6/10/23,3972.0
6/11/23,3465.0
6/12/23,3706.0
6/13/23,3508.0
6/14/23,3548.0
6/15/23,3656.0
6/16/23,4097.0
6/17/23,4037.0
6/18/23,3525.0
6/19/23,3855.0
6/20/23,3912.0
6/21/23,3712.0
6/22/23,3732.0
6/23/23,4153.0
6/24/23,3983.0
6/25/23,3758.0
6/26/23,4091.0
6/27/23,3984.0
6/28/23,3961.0
6/29/23,4042.0
6/30/23,4532.0
7/1/23,4389.0
7/2/23,4196.0
7/3/23,4510.0
7/4/23,4192.0
7/5/23,4344.0
7/6/23,4416.0
7/7/23,4504.0
7/8/23,4246.0
7/9/23,3918.0
7/10/23,3795.0
7/11/23,3754.0
7/12/23,3528.0
7/13/23,3577.0
7/14/23,3810.0
7/15/23,3733.0
7/16/23,3539.0
7/17/23,3664.0
7/18/23,3595.0
7/19/23,3429.0
7/20/23,3236.0
7/21/23,3594.0
7/22/23,3075.0
7/23/23,3576.0
7/24/23,3893.0
7/25/23,3868.0
7/26/23,3787.0
7/27/23,3807.0
7/28/23,3850.0
7/29/23,3178.0
7/30/23,3597.0
